creditcardid,creditcardnumber,creditcardexpirationdate,userid
68587,8.10625E+13,10/7/2024,98630
12021,8.07597E+15,5/15/2024,56104
62272,8.04606E+16,1/2/2022,91575
45342,8.01992E+16,9/21/2025,47339
69101,8.00501E+13,9/3/2023,42783
5996,7.96977E+13,7/22/2025,71923
82474,7.96365E+14,7/2/2023,19353
24090,7.93904E+14,2/4/2025,84840
26290,7.87516E+15,8/4/2023,40257
89797,7.81055E+13,6/8/2024,15543
81336,7.78128E+14,3/11/2022,31991
17252,7.77756E+15,11/24/2025,76460
79220,7.77E+14,4/10/2023,7708
30657,7.74493E+13,6/18/2025,93850
29682,7.74353E+16,3/26/2025,82908
42597,7.60144E+16,9/29/2023,99173
38103,7.57822E+15,5/22/2024,61789
35324,7.56524E+16,3/8/2023,47714
68146,7.48932E+15,2/14/2023,34152
68887,7.45481E+14,5/8/2023,7210
91587,7.44581E+13,8/29/2024,45074
37877,7.40846E+15,11/18/2024,57364
7014,7.34413E+15,11/29/2025,69088
94721,7.32958E+13,10/24/2022,57088
75805,7.31233E+16,8/28/2022,26801
52444,7.30299E+13,6/5/2022,56104
94301,7.29871E+14,11/22/2025,76459
81344,7.27186E+13,5/20/2022,35623
86559,7.2668E+13,7/13/2024,85824
86158,7.23853E+14,4/18/2022,57074
61188,7.22786E+13,3/9/2024,33241
67165,7.1816E+15,11/10/2023,70139
64246,7.18156E+14,1/7/2024,55759
10300,7.12339E+16,5/20/2025,51438
52290,7.10386E+14,6/5/2025,7708
68782,7.05415E+15,4/14/2023,95652
87394,6.91272E+13,8/28/2022,74000
15124,6.89306E+13,4/10/2024,50524
97408,6.87753E+14,5/17/2022,83096
54668,6.84495E+13,5/25/2023,29307
85246,6.84026E+15,11/4/2022,22474
93768,6.78483E+14,10/10/2025,30641
91557,6.71939E+16,6/2/2022,17046
6389,6.66637E+15,7/1/2024,53034
82002,6.65836E+14,8/1/2022,58937
13481,6.5929E+13,6/25/2023,83478
9223,6.59191E+16,1/13/2024,18918
52288,6.58943E+15,10/1/2024,53783
27230,6.43302E+13,7/10/2025,19628
71052,6.43269E+15,10/28/2023,56260
62170,6.42748E+13,3/13/2024,7617
97365,6.37364E+16,3/29/2022,67463
63534,6.35201E+16,6/12/2025,74000
26524,6.32505E+13,5/28/2025,4030
91836,6.29981E+13,11/9/2024,39397
55995,6.29633E+13,3/19/2024,99173
71342,6.26701E+15,5/13/2022,92916
77260,6.22322E+13,10/1/2023,76189
41977,6.20901E+14,8/17/2024,53422
81833,6.20678E+14,8/22/2025,83287
5746,6.18446E+14,6/1/2024,28165
2058,6.12136E+16,4/19/2025,57729
98847,6.09674E+13,11/29/2023,25092
24334,6.06625E+13,4/7/2025,3583
23241,6.03912E+14,5/11/2024,58868
68040,6.03314E+16,3/13/2024,67463
77936,6.02802E+15,9/24/2024,85767
71242,6.02033E+13,3/31/2022,57074
46091,5.92027E+14,12/24/2025,73793
76724,5.90056E+16,6/23/2023,99173
57176,5.8914E+14,8/10/2023,58868
70249,5.86941E+14,6/14/2024,58685
35356,5.85019E+14,8/29/2023,73793
31006,5.84542E+14,5/25/2023,93153
44138,5.8292E+15,6/2/2025,9479
76825,5.82118E+13,3/23/2022,53906
92729,5.80375E+15,6/17/2022,56363
61598,5.7683E+15,8/7/2024,70276
49348,5.76662E+16,1/5/2024,39899
64927,5.74966E+14,11/2/2022,57088
81071,5.74664E+13,8/11/2024,48337
22028,5.72691E+15,6/13/2025,24052
80923,5.70926E+15,6/7/2022,99111
63951,5.6309E+13,2/1/2023,19628
49629,5.6061E+15,8/3/2022,98114
65661,5.60269E+13,3/27/2022,65175
26113,5.59474E+15,8/1/2022,492
27390,5.57688E+13,1/3/2023,50524
17676,5.56754E+13,4/18/2023,45074
21690,5.55478E+15,1/24/2025,78370
60044,5.53673E+13,6/12/2025,28165
81830,5.53023E+14,5/15/2024,48549
39366,5.51386E+16,8/3/2025,85536
31164,5.51052E+14,1/21/2025,93764
96509,5.45375E+15,10/13/2022,80288
97416,5.44649E+13,12/8/2024,76459
19109,5.41656E+14,1/3/2023,99900
91495,5.37435E+15,8/13/2022,95254
31284,5.33998E+16,12/23/2023,58937
66829,5.3101E+15,5/16/2025,58937
93636,5.27315E+15,4/18/2022,24052
93662,5.26821E+16,11/14/2022,53906
4811,5.26389E+15,6/28/2023,19628
12211,5.25395E+15,8/1/2025,76339
87417,5.22975E+14,2/28/2024,53783
54727,5.20993E+15,12/8/2025,80753
88654,5.19435E+16,10/20/2025,83287
36908,5.16697E+13,10/27/2025,29076
46025,5.16367E+15,7/3/2022,83096
62019,5.14928E+16,7/26/2024,74000
80139,5.13927E+14,3/26/2023,96471
98616,5.11335E+15,2/4/2025,3169
29638,5.11095E+16,10/21/2023,49421
25740,5.09147E+15,3/12/2023,72995
29143,5.07411E+14,5/12/2024,36603
67682,5.07255E+15,3/12/2023,160
2836,5.07027E+14,11/3/2024,4030
7045,5.05901E+16,2/21/2023,99900
58314,5.0589E+15,7/5/2024,51438
72770,5.03464E+16,5/25/2025,7171
93793,5.00198E+16,2/10/2023,94983
83021,4.96279E+14,9/14/2022,18918
41747,4.93947E+14,10/26/2024,34152
20400,4.87478E+15,12/7/2023,65637
1005,4.85274E+15,2/14/2022,29412
23787,4.82137E+15,10/16/2024,27832
49981,4.76964E+13,9/21/2022,29076
13541,4.7618E+14,2/8/2024,48549
81461,4.75317E+13,8/7/2023,57722
78155,4.74949E+13,9/9/2025,5567
70046,4.73419E+13,1/23/2022,37571
49282,4.72405E+13,8/27/2022,72743
24462,4.66973E+13,9/8/2023,61789
41062,4.66013E+15,6/12/2024,44576
2805,4.64662E+13,1/20/2024,51334
78358,4.6385E+14,4/28/2022,34244
12152,4.62288E+14,4/2/2024,70276
55937,4.6188E+14,2/1/2022,53034
50024,4.54213E+14,10/14/2023,99173
75707,4.34339E+13,5/26/2024,57088
62157,4.33358E+15,5/9/2024,58868
76353,4.32087E+14,4/12/2023,97321
47922,4.2992E+16,8/8/2022,10295
87959,4.2422E+16,1/10/2023,81731
56744,4.22162E+15,1/13/2025,58685
11158,4.21932E+15,9/19/2022,53783
6937,4.20294E+14,11/11/2025,95652
42077,4.1983E+13,6/8/2023,13332
58543,4.18288E+14,5/11/2022,18292
44492,4.12788E+13,9/26/2022,90141
55381,4.12378E+16,4/4/2023,43710
93116,4.11817E+16,3/27/2024,76339
3979,4.07136E+15,5/7/2025,29307
51051,4.04451E+14,5/2/2022,23590
69696,4.02465E+13,6/25/2024,8680
23047,4.01512E+16,8/21/2025,96628
30381,4.00276E+13,12/16/2025,29076
46140,3.96343E+13,11/12/2025,76189
38195,3.94721E+14,11/9/2023,45419
14685,3.91052E+14,10/30/2025,39397
48730,3.90699E+14,10/16/2022,61107
49129,3.90428E+14,3/30/2025,58868
34193,3.89488E+15,3/16/2024,95652
2577,3.89056E+13,7/9/2024,160
33884,3.85669E+15,1/2/2022,83096
6740,3.83184E+16,6/29/2023,60972
94540,3.76151E+15,6/2/2025,96342
9577,3.74129E+16,11/30/2022,39411
55326,3.71571E+13,5/11/2022,37241
7998,3.71466E+15,1/6/2024,96471
98276,3.69885E+13,3/1/2023,8680
70904,3.67633E+16,5/12/2024,14112
56498,3.67213E+13,12/9/2024,1903
9089,3.65425E+13,5/20/2025,81731
50269,3.64885E+16,5/31/2022,17000
11612,3.63551E+16,2/17/2025,58868
83508,3.63083E+16,3/11/2022,51799
73044,3.60093E+14,12/25/2024,60531
43196,3.6005E+15,8/10/2025,56260
62657,3.58152E+13,11/4/2022,76459
14659,3.56231E+15,6/23/2022,1686
74767,3.53532E+14,6/25/2024,26801
22995,3.52666E+13,1/9/2023,58937
85365,3.51423E+13,3/11/2022,95652
43912,3.51134E+14,2/16/2022,56260
96345,3.49278E+15,4/2/2025,47183
1340,3.41657E+16,2/9/2025,57364
70891,3.40787E+16,10/25/2022,27238
43036,3.36528E+13,3/3/2022,65637
27563,3.35683E+13,10/25/2022,80288
70648,3.35464E+14,7/2/2024,45419
57444,3.31692E+13,6/10/2025,31991
32593,3.30729E+15,1/5/2024,67154
70104,3.27813E+13,4/18/2024,88769
18205,3.25607E+16,5/27/2022,62249
9929,3.22274E+14,1/14/2024,90259
83434,3.21233E+15,5/15/2022,96471
19279,3.1772E+13,6/7/2025,95652
99793,3.15274E+15,3/21/2024,25414
84358,3.14334E+13,5/9/2023,70214
61410,3.13296E+15,5/14/2023,18292
59936,3.12572E+16,1/17/2025,39899
15744,3.09299E+15,11/3/2025,37109
33597,3.07724E+14,5/29/2025,2328
66012,3.06755E+16,8/7/2022,16464
51268,3.04155E+16,3/10/2022,70276
28714,3.02235E+13,2/7/2023,33241
75429,2.99239E+16,1/30/2025,96628
76120,2.95504E+15,4/15/2023,12406
56780,2.93834E+16,9/28/2024,2739
73974,2.9241E+13,7/8/2023,58685
32610,2.91217E+13,4/1/2024,69088
86976,2.90745E+15,9/8/2023,53906
33437,2.90072E+14,10/20/2025,29412
36389,2.88098E+14,10/30/2025,5567
95362,2.87649E+15,2/28/2024,61869
82116,2.86936E+14,4/12/2022,66149
76021,2.83413E+13,7/27/2022,57199
16158,2.82926E+14,5/5/2022,31991
55975,2.74242E+15,5/2/2024,57088
19507,2.72602E+16,10/3/2022,64569
69036,2.67614E+15,9/9/2022,55244
49970,2.65677E+13,2/13/2025,10489
52619,2.64017E+13,3/1/2024,80753
39373,2.63482E+14,9/27/2024,85388
53248,2.6271E+14,9/30/2023,26801
92398,2.62208E+13,5/2/2023,53783
40035,2.61796E+15,10/19/2022,76394
45644,2.59532E+16,11/8/2022,57356
63801,2.59099E+15,11/8/2025,54988
28200,2.57947E+16,2/3/2023,10643
3881,2.56888E+16,7/15/2025,51438
44458,2.54723E+13,4/23/2024,60810
20218,2.46353E+14,5/18/2022,74000
4683,2.45802E+16,12/26/2025,73793
93019,2.44876E+16,4/4/2025,160
26359,2.43644E+13,5/2/2025,29307
58046,2.42401E+15,10/30/2022,28609
19199,2.41053E+14,11/15/2023,67229
88345,2.39201E+16,1/15/2025,25963
61423,2.35554E+13,3/15/2024,25516
10118,2.33466E+15,2/10/2023,10643
56666,2.29863E+14,10/21/2023,29412
51280,2.23392E+13,9/30/2022,57729
46292,2.22903E+15,7/15/2024,71409
44392,2.20019E+15,11/8/2024,18816
95277,2.17397E+14,1/3/2023,58868
86806,2.14894E+13,3/29/2025,14112
3052,2.13271E+16,7/23/2023,25414
30681,2.09688E+13,5/30/2024,19353
9521,2.06959E+15,8/6/2025,90141
91406,2.05841E+14,11/28/2024,17046
25349,2.02763E+14,4/21/2022,39411
7787,1.95468E+14,2/12/2023,39397
69501,1.94454E+14,4/8/2022,42233
15295,1.89045E+15,1/17/2025,57074
50263,1.84321E+15,3/5/2024,25048
90322,1.83784E+15,4/1/2024,71923
82171,1.83093E+16,5/4/2022,16548
41302,1.80138E+13,3/12/2022,4069
75038,1.80032E+15,7/25/2024,85348
34166,1.79589E+14,8/6/2024,99900
30509,1.69569E+16,5/30/2025,57729
29830,1.65768E+15,11/29/2023,39899
64162,1.65393E+16,3/23/2023,90168
65691,1.59276E+16,10/7/2022,65637
45474,1.55406E+15,8/18/2023,16714
26696,1.4607E+14,3/18/2025,1686
4842,1.45367E+15,6/3/2024,85348
84997,1.44035E+15,1/5/2024,25341
52739,1.43897E+15,10/2/2025,70967
43928,1.39808E+13,5/17/2025,79746
1615,1.36424E+13,7/27/2025,65637
61868,1.33885E+16,2/24/2025,160
42852,1.27365E+14,11/26/2025,6134
69057,1.26939E+13,5/23/2024,85767
30682,1.21631E+15,3/12/2022,85348
40185,1.06666E+16,6/2/2025,4069
34909,1.06303E+14,2/19/2025,25341
58990,1.04198E+15,10/8/2025,74000
98152,1.02119E+15,2/12/2024,49421
9676,1.00996E+14,9/15/2024,72697
68038,9.82751E+12,10/10/2023,7210
60305,9.58358E+12,6/18/2022,83209
88586,9.54515E+12,9/13/2023,82908
17780,9.26455E+15,9/8/2022,98630
1686,9.17599E+12,1/4/2025,67463
84631,8.6765E+12,11/2/2022,10295
44172,8.67512E+13,5/10/2025,29412
57355,8.52827E+12,5/25/2024,50524
15247,8.29501E+14,11/13/2025,28609
12570,7.17045E+13,5/23/2025,7708
58755,7.06145E+13,12/10/2024,84337
57996,7.01061E+14,6/24/2024,63624
27401,6.94302E+15,9/6/2024,83209
32346,6.83664E+15,11/11/2023,49421
89733,6.7692E+13,9/6/2025,16548
80858,6.71626E+15,12/20/2023,3586
76530,6.46428E+14,4/2/2022,96628
20085,6.10971E+15,1/2/2022,43710
38506,5.82347E+12,4/21/2023,49231
72686,5.60931E+14,7/22/2024,4030
56120,4.7439E+14,3/30/2024,67463
52329,4.44151E+13,3/7/2024,50986
27822,3.63056E+15,3/31/2022,10789
96613,3.50453E+14,8/14/2024,98744
31722,3.09644E+12,1/2/2022,16714
78323,3.0442E+15,1/24/2025,11622
21150,2.84361E+12,10/1/2025,96958
94969,2.69161E+12,3/7/2025,62249
46485,2.56483E+14,4/28/2022,84678
87186,2.34622E+14,11/21/2022,76189
10847,2.19287E+14,1/25/2024,10295
67034,2.15779E+14,5/5/2024,80753
29956,1.74978E+12,11/12/2024,74369
19719,1.63555E+12,6/4/2023,72897
82503,1.33401E+14,3/16/2022,60810
72038,1.21446E+12,9/6/2025,37241
2107,1.20109E+12,7/10/2024,85388
51363,1.13598E+12,4/7/2025,80753
54558,4.54424E+14,8/13/2022,4030
68534,2.52783E+14,8/5/2023,96958
405,1.22879E+13,5/14/2023,96628
